Parameter,ampgo_1,mcmc_mxl_1,mcmc_mxl_2sigma_plus_1,mcmc_mxl_2sigma_minus_1,mcmc_mode_1,mcmc_mode_hdi_plus_1,mcmc_mode_hdi_minus_1,ampgo_2,mcmc_mxl_2,mcmc_mxl_2sigma_plus_2,mcmc_mxl_2sigma_minus_2,mcmc_mode_2,mcmc_mode_hdi_plus_2,mcmc_mode_hdi_minus_2,ampgo_3,mcmc_mxl_3,mcmc_mxl_2sigma_plus_3,mcmc_mxl_2sigma_minus_3,mcmc_mode_3,mcmc_mode_hdi_plus_3,mcmc_mode_hdi_minus_3
mb,430.1693321076552,395.9390459212003,491.7893020147535,358.1317085585799,422.92723338472763,35.43699905398057,-32.84950787712279,2664.4923054986893,558.7103430304483,5175.312461372106,435.09902929464215,4263.48498678045,756.9091580925924,-1716.8889010378098,3108.0094404629203,848.0195317094978,4986.857007791773,1267.2068177994543,3932.993548126582,835.0769178314586,-917.5260052090166
bb,0.23357607309615946,0.2219799697060101,0.2739440364637055,0.1929783955577678,0.23137630275422638,0.020187292546565316,-0.021105378863726654,2.9920855143418827,1.3056830153099566,4.289206041858884,0.9626355667920135,3.585134747815476,0.46914162765494494,-0.7250021322885329,2.9308870959528615,1.7529578025147226,3.9224322955380444,1.828979956298808,3.3390020469318147,0.4303296060320734,-0.49705834560128803
md,5181.40644936688,3939.6399066279055,5769.704397061243,3680.5151880557332,4867.42128844849,439.9842430253466,-735.3049530738144,3868.3575736584958,4107.22295340391,8810.089992749708,3000.09059591535,4522.17924911133,1343.1443554973666,-1097.5972501878323,4054.884331308256,3707.7140882095614,9230.041134615229,3106.6757601336585,4510.306659062298,1755.6506915953232,-1039.196220844985
ad,4.358182077435188,4.4071232791197525,4.796445744369356,3.8839829316051273,4.280303098350634,0.26986203154807775,-0.166030882990996,7.178953561869207,4.4830148685258635,18.80799530953978,3.862923588017389,7.002903859709972,5.446768742177452,-2.9378805712929648,8.663612344668262,4.231107592093147,18.844674964815972,4.645285424174125,10.316001726275186,4.174082949335851,-3.60520478405466
bd,0.7441625035218907,0.4791283402350266,1.1870856379849855,0.4066072396544153,0.5776849996349427,0.2279237470717247,-0.12760900034116324,0.4805247681454569,0.5293727271503018,1.047219092962837,0.2929000641970526,0.44566742293840284,0.19538821544191037,-0.11159392970651638,0.45999069074143445,0.40314030196563166,0.9588029515735514,0.2969395638716377,0.43436451609377447,0.1832356175655956,-0.09444113840210117
mh,135428.42019621324,15674.322090234165,608079.5957732085,10305.550565684804,19366.0718094981,88777.33661540913,-12770.594579825283,141589.87614709634,20528.969683204377,580826.2331686316,17130.921141515653,34468.576162327605,238640.2942689628,-24603.458889016947,142120.49187820067,34984.20013668841,560088.1601357574,19249.954861655366,75718.27524831914,204525.6182314885,-59603.60679382849
ah,73.86646108503567,14.18651990774668,179.1453027268846,10.290082025690873,18.72929176552097,45.63598098839529,-9.804958368126218,84.95367420443505,18.663217476877065,197.12589330337326,23.041429797100303,191.68529575028458,8.306986846206087,-88.95903006169826,91.44773516552065,27.112517509060268,197.3551821286256,32.654958876013495,192.4600363747468,7.539869360966435,-79.477050181013
