Parameter,ampgo,mcmc_mxl,mcmc_mxl_2sigma_plus,mcmc_mxl_2sigma_minus,mcmc_mode,mcmc_mode_hdi_plus,mcmc_mode_hdi_minus
mb,2664.4923054986893,558.7103430304483,5175.312461372106,435.09902929464215,4263.48498678045,756.9091580925924,-1716.8889010378098
bb,2.9920855143418827,1.3056830153099566,4.289206041858884,0.9626355667920135,3.585134747815476,0.46914162765494494,-0.7250021322885329
md,3868.3575736584958,4107.22295340391,8810.089992749708,3000.09059591535,4522.17924911133,1343.1443554973666,-1097.5972501878323
ad,7.178953561869207,4.4830148685258635,18.80799530953978,3.862923588017389,7.002903859709972,5.446768742177452,-2.9378805712929648
bd,0.4805247681454569,0.5293727271503018,1.047219092962837,0.2929000641970526,0.44566742293840284,0.19538821544191037,-0.11159392970651638
mh,141589.87614709634,20528.969683204377,580826.2331686316,17130.921141515653,34468.576162327605,238640.2942689628,-24603.458889016947
ah,84.95367420443505,18.663217476877065,197.12589330337326,23.041429797100303,191.68529575028458,8.306986846206087,-88.95903006169826
