       R (kpc)       Vrot (km/s)     Vrot-sigmaV     Vrot+sigmaV
----------------------------------------------------------------
       1.3917792     169.3336182     160.9226837     177.7445526
       1.3937792     175.4257965     162.4933777     188.3582153
       1.3957791     175.2021027     161.4445038     188.9597015
       1.3977792     166.5486450     162.4804993     170.6167908
       1.3997792     166.0532074     163.4062653     168.7001495
       1.4017792     169.7604065     159.9241333     179.5966797
       1.4037791     181.5590363     170.1774902     192.9405823
       1.4057792     186.8858795     182.8564758     190.9152832
       1.4077792     186.3885956     181.6374817     191.1397095
       1.4097792     186.1148376     176.1538239     196.0758514
       1.4117792     191.9524384     183.3345337     200.5703430
       1.4137791     195.1699982     192.7073517     197.6326447
       1.4157792     195.5023346     195.0522614     195.9524078
       1.4177792     195.4268188     194.4897614     196.3638763
       1.4197792     194.5521545     193.4919586     195.6123505
       1.4217792     193.9865417     192.5238800     195.4492035
       1.4237791     187.9789429     173.0594025     202.8984833
       1.4257792     163.6504822     156.8155060     170.4854584
       1.4277792     163.8030090     157.0623169     170.5437012
       1.4297792     174.0534668     158.9911957     189.1157379
       1.4317791     188.6017761     178.2912598     198.9122925
       1.4337792     192.3472137     190.0445404     194.6498871
       1.4357792     193.1157684     192.1368561     194.0946808
       1.4377792     193.9173737     193.2583923     194.5763550
       1.4397792     194.6861572     193.0725555     196.2997589
       1.4417791     196.7000275     194.4946289     198.9054260
       1.4437792     196.8667755     194.9323273     198.8012238
       1.4457792     195.0491333     193.0511932     197.0470734
       1.4477792     193.2147369     190.1170959     196.3123779
       1.4497792     192.7734375     189.8515320     195.6953430
       1.4517791     192.6698151     189.7207947     195.6188354
       1.4537792     194.7171173     191.0137177     198.4205170
       1.4557792     196.7933197     194.2877502     199.2988892
       1.4577792     197.1249695     195.3546143     198.8953247
       1.4597791     196.7392883     195.3175812     198.1609955
       1.4617792     196.8820953     195.8535614     197.9106293
       1.4637792     196.4105072     194.9234924     197.8975220
       1.4657792     196.7202454     194.2291107     199.2113800
       1.4677792     199.1795654     197.1183777     201.2407532
       1.4697791     200.0694122     199.4372406     200.7015839
       1.4717792     199.6045532     198.6378479     200.5712585
       1.4737792     198.6199799     197.8515472     199.3884125
       1.4757792     198.2570038     198.0349426     198.4790649
       1.4777792     198.0929413     197.9283905     198.2574921
       1.4797792     198.1336517     197.9113312     198.3559723
       1.4817792     198.3854370     198.1655273     198.6053467
       1.4837792     198.3102570     197.9365997     198.6839142
       1.4857792     197.6930847     196.9388580     198.4473114
       1.4877791     196.7026215     195.8813934     197.5238495
       1.4897792     196.2371674     195.9297638     196.5445709
       1.4917792     196.3739166     195.9949951     196.7528381
       1.4937792     196.8798065     196.3452606     197.4143524
       1.4957792     197.0604095     196.7513123     197.3695068
       1.4977791     196.7353516     196.3707581     197.0999451
       1.4997792     196.2629395     195.9061890     196.6196899
       1.5017792     195.9535065     195.7355347     196.1714783
       1.5037792     195.6416626     195.1932220     196.0901031
       1.5057791     195.1223297     194.6899872     195.5546722
       1.5077792     194.9798126     194.5620270     195.3975983
       1.5097792     195.5995026     194.5921326     196.6068726
       1.5117792     196.5533905     195.8200684     197.2867126
       1.5137792     196.6625519     196.1199341     197.2051697
       1.5157791     195.9851532     194.9814301     196.9888763
       1.5177792     195.8876648     194.6277618     197.1475677
       1.5197792     197.0907745     195.9713745     198.2101746
       1.5217792     197.2835083     196.6588593     197.9081573
       1.5237792     197.1218567     196.6888733     197.5548401
       1.5257792     197.3434753     197.1195221     197.5674286
       1.5277792     197.5377045     197.3441467     197.7312622
       1.5297792     197.8157501     197.2348938     198.3966064
       1.5317792     198.4617462     197.8182831     199.1052094
       1.5337791     198.6764526     198.2830963     199.0698090
       1.5357792     198.1988831     197.5711670     198.8265991
       1.5377792     197.7664490     197.4118347     198.1210632
       1.5397792     197.9537811     197.6272125     198.2803497
       1.5417792     198.3435516     198.0577545     198.6293488
       1.5437791     198.4033356     197.9857788     198.8208923
       1.5457792     198.0208740     197.3153687     198.7263794
       1.5477792     198.0859528     197.3579865     198.8139191
       1.5497792     198.5920105     197.8518219     199.3321991
       1.5517792     199.1750336     198.7233582     199.6267090
       1.5537791     199.4043884     199.2590027     199.5497742
       1.5557792     199.5382080     199.2553101     199.8211060
       1.5577792     199.2783203     197.1847382     201.3719025
       1.5597792     195.8529510     190.0537109     201.6521912
       1.5617791     189.6123810     184.8160095     194.4087524
       1.5637792     187.2529449     185.9627838     188.5431061
       1.5657792     186.8481598     185.8986664     187.7976532
       1.5677792     187.9820709     182.6333466     193.3307953
       1.5697792     195.9944458     185.5418091     206.4470825
       1.5717793     202.2710266     192.0769653     212.4650879
       1.5737792     189.7865295     171.0335541     208.5395050
       1.5757792     173.7910461     161.9898987     185.5921936
       1.5777792     175.2379150     167.2570038     183.2188263
       1.5797791     181.7546539     175.4351807     188.0741272
       1.5817792     177.8670197     169.4718323     186.2622070
       1.5837792     170.3029785     164.8415527     175.7644043
       1.5857792     168.5628967     167.4185333     169.7072601
       1.5877792     168.7341156     168.3197784     169.1484528
       1.5897791     169.4701080     168.4875946     170.4526215
       1.5917792     170.6361389     169.7026520     171.5696259
       1.5937792     171.0214539     170.5476379     171.4952698
       1.5957792     170.4609375     169.6388702     171.2830048
       1.5977792     169.7471161     169.2435150     170.2507172
       1.5997791     169.5179443     169.3415070     169.6943817
