       R (kpc)       Vrot (km/s)     Vrot-sigmaV     Vrot+sigmaV
       1.6017792     169.2853241     169.0710144     169.4996338
       1.6037792     169.1138153     169.0074158     169.2202148
       1.6057792     169.0959930     169.0449829     169.1470032
       1.6077791     169.0966187     168.9705048     169.2227325
       1.6097792     169.0358276     168.6333160     169.4383392
       1.6117792     169.0280151     168.3341827     169.7218475
       1.6137792     168.9623108     168.3466187     169.5780029
       1.6157792     169.2451630     168.9033661     169.5869598
       1.6177793     169.4325256     169.3463898     169.5186615
       1.6197792     169.4286957     169.3757629     169.4816284
       1.6217792     169.3338928     169.0966339     169.5711517
       1.6237792     168.9475403     167.9658203     169.9292603
       1.6257792     168.3923950     166.5407715     170.2440186
       1.6277792     169.7309113     167.7165833     171.7452393
       1.6297792     170.6059113     169.7252655     171.4865570
       1.6317792     170.3642120     169.7722626     170.9561615
       1.6417792     150.5199127     145.3612061     155.6786194
       1.6437792     154.3226318     146.7406311     161.9046326
       1.6457791     161.2104187     154.6445923     167.7762451
       1.6477792     164.2784576     162.3125305     166.2443848
       1.6497792     164.5104828     164.2692871     164.7516785
       1.6517792     164.3454742     163.8824005     164.8085480
       1.6537793     163.7492523     163.1614532     164.3370514
       1.6557791     163.4194031     163.2026367     163.6361694
       1.6577792     163.4447937     163.3894958     163.5000916
       1.6597792     163.4919586     163.4586029     163.5253143
       1.6617792     163.4795227     163.3182526     163.6407928
       1.6637793     163.2694855     161.7692719     164.7696991
       1.6657792     164.8662415     156.5440521     173.1884308
       1.6677792     177.1203308     160.0611877     194.1794739
       1.6697792     191.9167938     181.5686951     202.2648926
       1.6717792     195.3482056     193.2479095     197.4485016
       1.6737792     196.1702881     194.9955750     197.3450012
       1.6757792     195.6021881     188.6598206     202.5445557
       1.6777792     184.9742889     167.1934357     202.7551422
       1.6797792     164.9669189     148.4832916     181.4505463
       1.6817791     152.2515717     145.7860107     158.7171326
       1.6837792     150.0788422     148.4304810     151.7272034
       1.6857792     154.1640015     127.3924713     180.9355316
       1.6877792     168.1302490     166.1496277     170.1108704
       1.6897792     168.3210907     168.2179871     168.4241943
       1.6917791     168.3668060     168.2945404     168.4390717
       1.6957792     173.6539154     171.2994080     176.0084229
       1.6977792     173.7132263     173.6921844     173.7342682
       1.6997793     173.7069855     173.6970978     173.7168732
       1.7017791     173.7050018     173.6959991     173.7140045
       1.7077792     175.5406799     174.4895172     176.5918427
       1.7097793     175.8744202     174.9929199     176.7559204
       1.7117792     176.7400360     175.6965790     177.7834930
       1.7137792     177.3344727     176.4701233     178.1988220
       1.7157792     176.1217957     171.4897308     180.7538605
       1.7177792     163.7877502     150.5361176     177.0393829
       1.7197793     152.7169189     148.6239319     156.8099060
       1.7217792     152.0201263     151.5162354     152.5240173
       1.7237792     151.7206268     151.4485626     151.9926910
       1.7257792     151.4244385     151.2013855     151.6474915
       1.7277792     151.3582306     151.2524872     151.4639740
       1.7297792     151.4758301     151.2922516     151.6594086
       1.7317792     151.5642242     151.2371826     151.8912659
       1.7337792     151.9412079     150.5053101     153.3771057
       1.7357792     154.0343628     151.5544739     156.5142517
       1.7377791     156.3408203     152.3292236     160.3524170
       1.7397792     163.0496521     148.2843018     177.8150024
       1.7417792     181.1275177     162.8482361     199.4067993
       1.7437792     182.2127991     163.4744415     200.9511566
       1.7457792     165.2291565     145.8356934     184.6226196
       1.7477791     156.2911072     142.7732544     169.8089600
       1.7517792     165.0881653     161.0253448     169.1509857
       1.7537792     169.2691803     163.1119080     175.4264526
       1.7557793     175.0764160     170.1965027     179.9563293
       1.7577792     180.3820496     172.0037079     188.7603912
       1.7597792     186.4081573     175.3598022     197.4565125
       1.7617792     188.2915955     178.5530853     198.0301056
       1.7637792     194.9758759     188.4464874     201.5052643
       1.7657793     200.0747833     196.0694733     204.0800934
       1.7677792     201.3152771     197.7499695     204.8805847
       1.7697792     197.6160583     193.5124054     201.7197113
       1.7717792     195.3978424     193.9060059     196.8896790
       1.7737792     195.0189972     194.7184906     195.3195038
       1.7757792     195.0143585     194.8431091     195.1856079
       1.7777792     195.1949768     194.9658813     195.4240723
       1.7797792     195.2117157     195.0053558     195.4180756
       1.7817792     194.8771057     192.7513885     197.0028229
       1.7837791     185.1384583     178.6640625     191.6128540
       1.7857792     182.8259888     182.3705902     183.2813873
       1.7877792     182.8802490     182.5565186     183.2039795
       1.7897792     183.0749207     182.4204254     183.7294159
       1.7917792     182.3994293     181.1969299     183.6019287
       1.7937791     181.4635620     180.7133636     182.2137604
       1.7957792     181.5549927     180.8285065     182.2814789
       1.7977792     181.7528076     181.0805969     182.4250183
       1.7997792     181.9504700     181.5761566     182.3247833
       1.8017793     182.2695923     181.9583130     182.5808716
       1.8037792     182.5220184     182.2276306     182.8164062
       1.8177792     204.8341980     204.6653900     205.0030060
       1.8197792     204.8774719     204.7331085     205.0218353
       1.8217793     204.9618683     204.7412415     205.1824951
       1.8237792     205.0646515     204.5339966     205.5953064
       1.8317792     166.6981659     166.5680084     166.8283234
       1.8337792     166.8080139     166.5665283     167.0494995
       1.8357792     167.1114807     166.7445831     167.4783783
       1.8377792     167.4080505     167.1457214     167.6703796
       1.8397791     167.5085602     167.3022919     167.7148285
       1.8477793     164.9627075     145.9569855     183.9684296
       1.8497792     180.5911560     157.9557037     203.2266083
       1.8517792     204.0004120     183.6348877     224.3659363
       1.8537792     217.4420013     208.9929199     225.8910828
       1.8557792     219.0549622     217.6139984     220.4959259
       1.8577793     218.3439484     217.7046356     218.9832611
       1.8597792     217.6235962     217.1135254     218.1336670
       1.8617792     217.1480408     216.8571167     217.4389648
       1.8637792     216.9539948     216.7632599     217.1447296
       1.8657792     216.7360840     216.5170593     216.9551086
       1.8677793     216.7615509     216.5012360     217.0218658
       1.8697792     216.9861755     216.7340851     217.2382660
       1.8717792     216.8666229     216.6391449     217.0941010
       1.8737792     216.6725464     216.5143433     216.8307495
       1.8757792     216.6016998     216.3819733     216.8214264
       1.8777792     216.6920471     216.2993011     217.0847931
       1.8797792     216.5261993     215.5031738     217.5492249
       1.8817792     213.8374481     201.6777344     225.9971619
       1.8837792     182.4213562     171.8606415     192.9820709
       1.8857791     180.6777496     180.1369324     181.2185669
       1.8877792     180.6732788     180.0675964     181.2789612
       1.8917792     196.2127075     195.6571808     196.7682343
       1.8937793     196.3362427     196.0550995     196.6173859
       1.8957791     196.1922150     195.3827057     197.0017242
       1.8977792     195.3931122     194.0854950     196.7007294
       1.8997792     194.9889679     193.7012634     196.2766724
       1.9017792     194.8259888     193.7811890     195.8707886
       1.9037793     195.0146790     192.1032410     197.9261169
       1.9057791     190.7304688     181.8051300     199.6558075
       1.9077792     180.6281281     171.9722290     189.2840271
       1.9097792     177.4123230     172.4114227     182.4132233
       1.9117792     184.1099701     173.8223267     194.3976135
       1.9137793     193.8243103     186.7916260     200.8569946
       1.9157792     196.1176910     193.7494202     198.4859619
       1.9177792     193.1395264     186.3442535     199.9347992
       1.9197792     183.3687592     174.1614380     192.5760803
       1.9217792     174.7231445     169.3509521     180.0953369
       1.9237792     172.6509552     170.0758972     175.2260132
       1.9257792     176.0418396     170.5762939     181.5073853
       1.9277792     181.4730072     177.4829559     185.4630585
       1.9297793     183.0851898     182.1144257     184.0559540
       1.9317791     183.2106934     183.0845184     183.3368683
       1.9457792     164.9854126     164.9241486     165.0466766
       1.9477792     165.0177765     164.9582672     165.0772858
       1.9497793     165.0480347     164.9843292     165.1117401
       1.9597793     218.1197815     215.0131836     221.2263794
       1.9617792     216.8060150     212.3209076     221.2911224
       1.9637792     211.0793915     199.2455750     222.9132080
       1.9657792     196.9861908     173.6104584     220.3619232
       1.9677792     194.9728851     170.8662109     219.0795593
       1.9697793     207.3791504     198.2938080     216.4644928
       1.9717792     208.6687164     206.7556610     210.5817719
       1.9737792     206.0888672     198.5158691     213.6618652
       1.9757793     194.0959778     182.7547302     205.4372253
       1.9777792     194.3957367     183.0646057     205.7268677
       1.9797792     198.8916473     179.9404297     217.8428650
       1.9817792     182.2991791     154.8200378     209.7783203
       1.9837792     162.7979279     146.0159302     179.5799255
       1.9857793     157.3490448     147.2325439     167.4655457
       1.9897792     208.6671295     207.7975159     209.5367432
       1.9917792     208.7249603     208.6459351     208.8039856
       1.9937792     208.7868042     208.5918732     208.9817352
       1.9957793     208.5678558     208.1471100     208.9886017
       1.9977791     208.1255188     207.4212036     208.8298340
       1.9997792     206.7521515     199.8867493     213.6175537
       2.0017791     183.8766937     165.9348602     201.8185272
       2.0037792     173.9589539     170.4105530     177.5073547
       2.0057793     178.4216309     165.5463409     191.2969208
       2.0077791     202.9259186     190.0602722     215.7915649
       2.0097792     207.6429443     205.7496643     209.5362244
       2.0117793     207.7512817     207.6116791     207.8908844
       2.0137792     207.7550812     207.7401886     207.7699738
       2.0197792     197.9230042     184.9696045     210.8764038
       2.0217793     190.4401550     168.6913452     212.1889648
       2.0237792     169.3319702     146.0346832     192.6292572
       2.0257792     161.3145142     144.3141022     178.3149261
       2.0277791     176.6887207     152.8243713     200.5530701
       2.0297792     198.3960266     179.6600189     217.1320343
       2.0317793     212.6448517     202.9919281     222.2977753
       2.0337791     210.9092560     201.4264221     220.3920898
       2.0357792     201.7602997     194.8819275     208.6386719
       2.0377793     200.2636719     196.2494049     204.2779388
       2.0397792     205.0526276     197.9480438     212.1572113
       2.0417793     205.2018738     198.1034546     212.3002930
       2.0437791     202.3779755     198.9010773     205.8548737
       2.0457792     202.4850922     201.2890472     203.6811371
       2.0477791     201.9567108     200.8092041     203.1042175
       2.0497792     202.2581940     201.0078583     203.5085297
       2.0517793     203.1242523     202.2390747     204.0094299
       2.0537791     201.6859741     199.6581573     203.7137909
       2.0557792     200.0861664     198.0854340     202.0868988
       2.0577793     199.1781921     196.4091339     201.9472504
       2.0597792     202.5670471     197.0901947     208.0438995
       2.0617793     206.0762634     201.8745422     210.2779846
       2.0637794     203.3617096     199.9184113     206.8050079
       2.0657792     200.7733765     198.9305573     202.6161957
       2.0677793     199.4837341     198.4354858     200.5319824
       2.0697792     199.6609192     197.8354340     201.4864044
       2.0717793     202.9018097     196.2305450     209.5730743
       2.0737791     212.8155518     200.5816193     225.0494843
       2.0757792     222.4845886     211.0174103     233.9517670
       2.0777793     209.6305084     181.1984100     238.0626068
       2.0797791     182.7937469     154.9774933     210.6100006
       2.0817792     191.2121582     171.0234985     211.4008179
       2.0837793     202.8737946     195.5169067     210.2306824
       2.0857792     203.4917908     202.3676758     204.6159058
       2.0877793     202.8484039     202.3106384     203.3861694
       2.0897791     202.1636810     201.6342010     202.6931610
       2.0917792     201.8108063     201.6065216     202.0150909
       2.0937791     201.8125610     201.7502899     201.8748322
       2.0957792     201.8334503     201.5159607     202.1509399
       2.0977793     201.3347778     200.2235870     202.4459686
       2.0997791     200.0542145     198.8671875     201.2412415
       2.1017792     199.9597015     198.9835358     200.9358673
       2.1037793     200.9891968     200.1157837     201.8626099
       2.1057792     201.4599457     201.1969299     201.7229614
       2.1077793     201.5654144     201.4521332     201.6786957
       2.1097794     201.4237061     201.0539093     201.7935028
       2.1117792     200.8762817     200.3843689     201.3681946
       2.1137793     200.5033569     200.2874146     200.7192993
       2.1157792     200.4925385     200.4358063     200.5492706
       2.1177793     200.5354767     200.5096130     200.5613403
       2.1197791     200.5476532     200.5089722     200.5863342
       2.1217792     200.4951935     200.3445282     200.6458588
       2.1237793     200.2909851     200.0692749     200.5126953
       2.1257792     200.0927124     198.8667145     201.3187103
       2.1277792     199.0753174     194.0326996     204.1179352
       2.1297793     195.8180389     185.8404236     205.7956543
       2.1337793     201.1705322     196.5229950     205.8180695
       2.1357791     198.9170837     191.5845795     206.2495880
       2.1377792     190.0856628     180.0065155     200.1648102
       2.1397791     184.0031586     178.9347839     189.0715332
       2.1417792     187.8788452     183.5716553     192.1860352
       2.1437793     190.4727173     189.2270813     191.7183533
       2.1457791     190.6449127     189.9620209     191.3278046
       2.1477792     191.1336670     189.7661133     192.5012207
       2.1497793     190.7279205     189.3685303     192.0873108
       2.1517792     190.3055115     189.7452545     190.8657684
       2.1537793     190.5126190     190.0379486     190.9872894
       2.1557794     190.0058441     187.9993896     192.0122986
       2.1577792     185.5158691     176.8228607     194.2088776
       2.1597791     170.1816254     161.8349762     178.5282745
       2.1617792     166.7941437     164.6153259     168.9729614
       2.1637793     165.9850922     162.8145599     169.1556244
       2.1677792     187.7733002     160.2774353     215.2691650
       2.1697793     170.8086395     159.3722076     182.2450714
       2.1717792     167.0561218     164.7860107     169.3262329
       2.1737792     167.3244629     164.7125397     169.9363861
       2.1757793     173.5904999     164.6329803     182.5480194
       2.1777792     183.0557861     178.7785950     187.3329773
       2.1797793     183.9675751     183.2967377     184.6384125
       2.1817791     184.3942413     182.2812195     186.5072632
       2.1837792     187.5185089     181.6491089     193.3879089
       2.1857791     188.7657623     178.5352325     198.9962921
       2.1877792     192.4468079     182.4864502     202.4071655
       2.1897793     194.5604401     186.0870209     203.0338593
       2.1917791     182.8579865     166.4257812     199.2901917
       2.1937792     169.7744598     156.4085846     183.1403351
       2.1957793     187.4326477     160.6504364     214.2148590
       2.1977792     211.7342682     198.2428284     225.2257080
       2.1997793     214.3602448     209.5164642     219.2040253
       2.2017794     218.5612640     214.1949463     222.9275818
       2.2037792     221.0519562     219.4089355     222.6949768
       2.2057791     221.3391571     220.7770691     221.9012451
       2.2417793     166.7595825     166.7384796     166.7806854
       2.2437792     166.7472076     166.7245026     166.7699127
       2.2457793     166.7262421     166.6989594     166.7535248
       2.2477794     166.7076111     166.6795807     166.7356415
       2.2637792     170.2524261     169.0664978     171.4383545
       2.2657793     170.3313293     169.2425232     171.4201355
       2.2677794     170.2397766     168.9667816     171.5127716
       2.2697792     171.3493195     170.0877991     172.6108398
       2.2717793     172.0611877     171.6397095     172.4826660
       2.2737792     172.2373505     172.0181885     172.4565125
       2.2757792     172.4884949     172.1876068     172.7893829
       2.2777791     172.6718750     172.4208679     172.9228821
       2.2877793     160.4979401     160.1527557     160.8431244
       2.2897792     160.4103546     160.2363281     160.5843811
       2.2917793     160.3545227     160.2593689     160.4496765
       2.2937794     160.3565979     160.3163452     160.3968506
       2.3057792     164.2713165     164.0111389     164.5314941
       2.3077793     164.2020874     164.0606842     164.3434906
       2.3097792     164.1583862     164.0919647     164.2248077
       2.3117793     164.1436157     164.1177216     164.1695099
       2.3217793     193.2023621     192.8564453     193.5482788
       2.3237791     193.5648956     193.0002136     194.1295776
       2.3257792     194.1402893     193.6945038     194.5860748
       2.3277793     194.3847809     194.2564545     194.5131073
       2.3297791     194.4705048     194.4031982     194.5378113
       2.3317792     194.5383911     194.4829102     194.5938721
       2.3337793     194.5712128     194.5216370     194.6207886
       2.3417792     196.1178284     196.0877991     196.1478577
       2.3437791     196.1574097     196.0921021     196.2227173
       2.3457792     196.2598724     196.1585846     196.3611603
       2.3477793     196.3698120     196.2527313     196.4868927
       2.3497791     196.6533356     195.8831940     197.4234772
       2.3517792     197.4376831     196.4950409     198.3803253
       2.3537793     197.1456909     196.1123657     198.1790161
       2.3557792     196.3573456     195.5935974     197.1210938
       2.3577793     196.2978516     195.8642273     196.7314758
       2.3597794     196.5947418     195.8245850     197.3648987
       2.3617792     197.3566132     196.6607056     198.0525208
       2.3637793     197.6694489     197.2614288     198.0774689
       2.3657792     197.5317078     196.5688934     198.4945221
       2.3677793     196.7621918     195.1752014     198.3491821
       2.3697791     195.0328979     193.4977722     196.5680237
       2.3717792     194.3737946     193.2556458     195.4919434
       2.3737793     195.5944824     194.2143555     196.9746094
       2.3757792     196.5316772     195.9553223     197.1080322
       2.3777792     196.7537689     196.5363922     196.9711456
       2.3797793     196.7632446     196.4546661     197.0718231
       2.3817792     196.2610931     195.4798126     197.0423737
       2.3837793     195.3793945     194.6408234     196.1179657
       2.3857791     195.0819244     194.2891998     195.8746490
       2.3877792     194.4673920     193.4537048     195.4810791
       2.3897791     194.1098480     193.6248474     194.5948486
       2.3917792     194.3273468     194.1664124     194.4882812
       2.3937793     194.4200287     194.3650055     194.4750519
       2.3957791     194.4706421     194.4034119     194.5378723
       2.3977792     194.4006042     194.2324677     194.5687408
       2.3997793     194.2383118     194.0903778     194.3862457
       2.4017792     194.1884003     194.1234589     194.2533417
       2.4157791     198.5049438     198.3769989     198.6328888
       2.4177792     198.5201569     198.4921112     198.5482025
       2.4197793     198.5522156     198.5169830     198.5874481
       2.4217792     198.5935669     198.5654297     198.6217041
       2.4237792     198.6194153     198.5944672     198.6443634
       2.4257793     198.6658325     198.4985657     198.8330994
       2.4277792     199.0811768     198.4194489     199.7429047
       2.4297793     199.9407959     199.5249939     200.3565979
       2.4317794     200.1066284     200.0185699     200.1946869
       2.4337792     200.2154999     200.1021271     200.3288727
       2.4357791     200.4064941     200.2000580     200.6129303
       2.4377792     200.7167816     200.4461060     200.9874573
       2.4397793     200.9757385     200.8141022     201.1373749
       2.4417791     200.9969788     200.7518616     201.2420959
       2.4437792     200.6665192     199.4100952     201.9229431
       2.4457793     198.6963043     191.7484436     205.6441650
       2.4477792     188.4941864     175.2091827     201.7791901
       2.4497793     179.9275360     169.5422668     190.3128052
       2.4517794     192.2183228     179.9299774     204.5066681
       2.4537792     199.3404388     195.8538971     202.8269806
       2.4557791     198.8437805     193.2227020     204.4648590
       2.4577794     175.4446564     162.7399445     188.1493683
       2.4597793     171.6164703     169.4562378     173.7767029
       2.4617791     173.0884857     164.2476044     181.9293671
       2.4637792     185.6555939     168.8444977     202.4666901
       2.4657793     197.3994446     185.8983307     208.9005585
       2.4677792     188.7979889     173.8555298     203.7404480
       2.4697793     177.5997314     167.9975433     187.2019196
       2.4717793     175.1088562     172.5558472     177.6618652
       2.4737792     175.2190247     174.3367920     176.1012573
       2.4757793     175.8513489     174.5190277     177.1836700
       2.4777794     176.8508911     171.0409698     182.6608124
       2.4817791     235.6597900     233.0674896     238.2520905
       2.4837792     235.7134705     235.4850769     235.9418640
       2.5017791     213.5976562     213.4617462     213.7335663
       2.5037794     213.6356506     213.4236450     213.8476562
       2.5057793     213.9626923     213.3683777     214.5570068
       2.5157793     208.9974976     197.5059814     220.4890137
       2.5177794     204.8220215     195.7518311     213.8922119
       2.5197792     210.1781464     201.3219147     219.0343781
       2.5217791     215.2301178     213.9430084     216.5172272
       2.5237794     215.0972900     213.3031158     216.8914642
       2.5257792     205.4784546     195.7156525     215.2412567
       2.5277791     200.2821503     199.3804779     201.1838226
       2.5297792     200.1616058     200.0387268     200.2844849
       2.5317793     200.1324005     199.7213440     200.5434570
       2.5357792     204.7857666     204.1015320     205.4700012
       2.5377793     206.4147186     190.7563934     222.0730438
       2.5397792     223.7312927     217.3391113     230.1234741
       2.5417793     223.5602264     218.0852814     229.0351715
       2.5437794     223.5546875     213.2785492     233.8308258
       2.5457792     230.7198181     219.7426300     241.6970062
       2.5477791     231.4278259     216.9189758     245.9366760
       2.5497794     207.7938995     201.2656097     214.3221893
       2.5517793     206.7720947     206.3374329     207.2067566
       2.5537791     206.7302856     206.4747772     206.9857941
       2.5557792     205.8484955     204.9271698     206.7698212
       2.5577793     206.0191498     203.0353699     209.0029297
       2.5597792     209.9285278     198.5593872     221.2976685
       2.5617793     224.0474243     209.1729126     238.9219360
       2.5637794     225.3185883     215.0170898     235.6200867
       2.5657792     215.7526093     204.4202271     227.0849915
       2.5677791     207.9397888     202.6478882     213.2316895
       2.5697794     206.8759460     205.5990601     208.1528320
       2.5717793     209.2193909     203.0554810     215.3833008
       2.5737791     218.6899872     204.3964539     232.9835205
       2.5757792     228.6432037     212.5734863     244.7129211
       2.5777793     222.3889313     180.6591492     264.1187134
       2.5797791     211.0404053     207.3006134     214.7801971
       2.5817792     209.2393341     205.0032349     213.4754333
       2.5837793     204.9578857     200.3356018     209.5801697
       2.5857792     204.7335815     201.7751923     207.6919708
       2.5877793     206.1814880     204.8040466     207.5589294
       2.5897794     207.7223358     199.7186279     215.7260437
       2.5917792     214.8999786     199.1059265     230.6940308
       2.5937791     216.4114838     200.1557770     232.6671906
       2.5957794     215.4029999     202.6153107     228.1906891
       2.5977793     220.7500305     212.2243347     229.2757263
       2.5997791     215.3141327     203.7442169     226.8840485
       2.6017792     205.3175964     197.1733093     213.4618835
       2.6037793     202.4007263     200.2465973     204.5548553
       2.6057792     202.3126984     202.0836639     202.5417328
       2.6077793     202.3874664     202.3345184     202.4404144
       2.6097794     202.4393768     202.2974396     202.5813141
       2.6117792     202.6859741     202.3946075     202.9773407
       2.6137791     203.0945587     202.7395020     203.4496155
       2.6157794     203.3960419     202.8828430     203.9092407
       2.6177793     202.9697876     202.0746613     203.8649139
       2.6197791     202.4925995     201.9569092     203.0282898
       2.6217792     202.4649811     202.3009338     202.6290283
       2.6237793     202.3553162     202.0818024     202.6288300
       2.6257792     202.4878235     201.8137207     203.1619263
       2.6277792     203.2925568     202.5382080     204.0469055
       2.6297793     203.5684662     202.7982635     204.3386688
       2.6317792     202.2949677     199.6215210     204.9684143
       2.6337793     198.8862762     195.8033752     201.9691772
       2.6357794     196.9258575     195.6135864     198.2381287
       2.6377792     196.7240143     194.7389832     198.7090454
       2.6397791     200.0122223     191.6780090     208.3464355
       2.6417792     208.8989563     196.8157043     220.9822083
       2.6437793     205.4218750     193.5207062     217.3230438
       2.6457791     198.4593658     192.8231049     204.0956268
       2.6477792     198.0545044     195.4515228     200.6574860
       2.6497793     198.7238922     196.0209198     201.4268646
       2.6517792     199.4757996     198.0869751     200.8646240
       2.6537793     200.2825165     199.0307617     201.5342712
       2.6557794     201.8726044     200.3157196     203.4294891
       2.6577792     202.0914612     200.8564606     203.3264618
       2.6597791     201.2315063     200.1079712     202.3550415
       2.6617794     199.8420868     194.5841064     205.1000671
       2.6637793     191.6554565     180.4582825     202.8526306
       2.6657791     181.7705383     174.8779755     188.6631012
       2.6677792     179.5496979     178.0135651     181.0858307
       2.6697793     179.8772278     175.1339722     184.6204834
       2.6717792     187.4467773     174.5067444     200.3868103
       2.6737792     200.9722290     190.6569672     211.2874908
       2.6757793     205.0847626     202.5039673     207.6655579
       2.6777792     204.8386536     203.8296509     205.8476562
       2.6797793     205.7536011     203.8483734     207.6588287
       2.6817794     206.7087402     204.9397125     208.4777679
       2.6837792     204.9649200     203.0686340     206.8612061
       2.6857791     203.3759613     202.3422241     204.4096985
       2.6877792     203.5406189     201.3292389     205.7519989
       2.6897793     206.6076050     203.0610504     210.1541595
       2.6917791     209.3137512     207.6382141     210.9892883
       2.6937792     209.6905670     209.0382843     210.3428497
