       Radius (kpc)   Tb (K)          Tb-sigma T       Tb+sigma T
       4.0641851       5.3858743       2.4101264       8.3616219
       4.0691853       5.9901929       2.2407994       9.7395859
       4.0741854       7.1649103       2.6186934      11.7111273
       4.0791855       8.7621403       3.4736710      14.0506096
       4.0841851      10.2756433       4.1742320      16.3770542
       4.0891852      11.2135353       4.4671931      17.9598770
       4.0941849      10.9794340       4.0577526      17.9011154
       4.0991850       9.3072166       2.5947032      16.0197296
       4.1041851       6.7586889       0.7499509      12.7674274
       4.1091852       4.3990922      -0.2630978       9.0612822
       4.1141853       2.9129999      -0.2497423       6.0757418
       4.1191854       2.1937897       0.0332110       4.3543682
       4.1241851       1.9449594       0.2154734       3.6744454
       4.1291852       2.1222482       0.4231366       3.8213596
       4.1341848       2.7100160       0.7551148       4.6649170
       4.1391850       3.6028173       1.1989577       6.0066767
       4.1441851       4.7229209       1.8669422       7.5788994
       4.1491852       5.8528461       2.8925254       8.8131666
       4.1541853       6.5441389       3.7845962       9.3036814
       4.1591854       6.5081935       3.7965155       9.2198715
       4.1641850       5.8906870       3.0673487       8.7140255
       4.1691852       5.1814547       2.3773394       7.9855700
       4.1741848       4.6127543       1.7826128       7.4428959
       4.1791849       3.8706667       0.9055359       6.8357973
       4.1841850       2.9164200       0.1279919       5.7048483
       4.1891851       2.2717175       0.0237014       4.5197334
       4.1941853       2.1542516       0.3002136       4.0082893
       4.1991854       2.1677415       0.4148285       3.9206545
       4.2041850       1.9491549       0.1777039       3.7206059
       4.2091851       1.5961481      -0.2521390       3.4444351
       4.2141852       1.5035632      -0.7044525       3.7115788
       4.2191849       2.0629792      -1.0554900       5.1814485
       4.2241850       3.3593938      -0.8439505       7.5627384
       4.2291851       4.8604293      -0.0157142       9.7365723
       4.2341852       5.6030626       0.5388889      10.6672363
       4.2391853       5.0442238       0.1086626       9.9797850
       4.2441854       3.6040456      -0.7187154       7.9268064
       4.2491851       2.1880097      -1.0773299       5.4533491
       4.2541852       1.4210156      -0.9506363       3.7926674
       4.2591848       1.4260352      -0.8007240       3.6527944
       4.2641850       1.9138027      -0.5329291       4.3605347
       4.2691851       2.3526945      -0.1078086       4.8131976
       4.2741852       2.4341156       0.2096658       4.6585655
       4.2791853       2.3946912       0.4375072       4.3518753
       4.2841854       2.6689272       0.6141024       4.7237520
       4.2891850       3.4273443       0.9295201       5.9251685
       4.2941852       4.4897122       1.6458437       7.3335810
       4.2991848       5.4906516       2.4722075       8.5090961
       4.3041849       6.1646061       2.8681917       9.4610205
       4.3091850       6.3230772       2.6489921       9.9971619
       4.3141851       5.7402000       1.8668454       9.6135550
       4.3191853       4.5879431       0.9763565       8.1995296
       4.3241854       3.5544639       0.5988054       6.5101223
       4.3291850       3.2381239       0.6133513       5.8628964
       4.3341851       3.8172929       0.8136556       6.8209305
       4.3391852       4.9909129       1.6888268       8.2929993
       4.3441849       5.9558406       2.9073799       9.0043011
       4.3491850       6.0324430       3.4163744       8.6485119
       4.3541851       5.3602524       3.1329205       7.5875845
       4.3591852       4.5463233       2.7514720       6.3411746
       4.3641853       3.9180017       2.3759472       5.4600563
       4.3691854       3.5286026       1.9311807       5.1260242
       4.3741851       3.5537405       1.6736542       5.4338269
       4.3791852       4.1183724       1.8766828       6.3600621
       4.3841848       4.8784547       2.3994234       7.3574858
       4.3891850       5.3089724       2.6060898       8.0118551
       4.3941851       5.3012738       2.3540900       8.2484579
       4.3991852       5.1111207       2.0199769       8.2022648
       4.4041853       4.8192005       1.6491189       7.9892821
       4.4091854       4.3377175       1.1503034       7.5251317
       4.4141850       3.8386168       0.7767532       6.9004803
       4.4191852       3.5707598       0.7039011       6.4376183
       4.4241848       3.4622681       0.5978885       6.3266478
       4.4291849       3.2296140       0.0011697       6.4580584
       4.4341850       2.7382715      -0.9253254       6.4018683
       4.4391851       2.1762393      -1.5980933       5.9505720
       4.4441853       1.7600169      -1.7201526       5.2401867
       4.4491854       1.5104014      -1.3760840       4.3968868
       4.4541850       1.5370075      -0.7219604       3.7959752
       4.4591851       1.9594761       0.0061882       3.9127641
       4.4641852       2.4979589       0.5336819       4.4622359
       4.4691849       2.7114992       0.5585308       4.8644676
       4.4741850       2.5758934       0.2659502       4.8858366
       4.4791851       2.4153476       0.1161499       4.7145452
       4.4841852       2.4080086       0.1558206       4.6601963
       4.4891853       2.4372876       0.1956599       4.6789150
       4.4941854       2.2791121       0.0111644       4.5470600
       4.4991851       1.8810195      -0.5848676       4.3469067
       4.5041852       1.5694158      -1.3089063       4.4477377
       4.5091848       1.7924030      -1.4469604       5.0317664
       4.5141850       2.3671441      -0.7968533       5.5311413
       4.5191851       2.5905366      -0.1623888       5.3434620
       4.5241852       2.3515022      -0.0220494       4.7250538
       4.5291853       2.1829317      -0.0259464       4.3918095
       4.5341854       2.3282630      -0.1393766       4.7959027
       4.5391850       2.6005173      -0.4737802       5.6748147
       4.5441852       2.8720179      -0.8137000       6.5577354
       4.5491848       2.9544392      -0.9549313       6.8638096
       4.5541849       2.5551233      -1.0922992       6.2025461
       4.5591850       1.8725463      -1.1823906       4.9274831
       4.5641851       1.4390323      -1.0471442       3.9252088
       4.5691853       1.3869790      -0.9620508       3.7360086
       4.5741854       1.4160968      -1.1409940       3.9731874
       4.5791850       1.2408845      -1.4336629       3.9154320
       4.5841851       0.9609054      -1.5095671       3.4313779
       4.5891848       0.7988937      -1.3069837       2.9047711
       4.5941849       0.7142190      -1.1133214       2.5417595
       4.5991850       0.7649912      -0.9947828       2.5247650
       4.6041851       1.2382652      -0.7763146       3.2528448
       4.6091852       2.1920109      -0.2543623       4.6383839
       4.6141853       3.2920570       0.4252868       6.1588273
       4.6191854       4.0797434       0.6906962       7.4687905
       4.6241851       4.2501049       0.2706392       8.2295704
       4.6291852       3.7226367      -0.4865828       7.9318562
       4.6341848       2.6969004      -1.0673592       6.4611597
       4.6391850       1.6086954      -1.2580539       4.4754448
       4.6441851       0.7706398      -1.3668196       2.9080994
       4.6491852       0.2132563      -1.6697875       2.0963001
       4.6541853      -0.0879583      -1.8865647       1.7106481
       4.6591854      -0.0718266      -1.7547271       1.6110740
       4.6641850       0.2227241      -1.3073889       1.7528371
       4.6691852       0.5079370      -0.8207320       1.8366059
       4.6741848       0.4947111      -0.6955896       1.6850119
       4.6791849       0.1970310      -0.9225835       1.3166455
       4.6841850      -0.1720679      -1.1755636       0.8314276
       4.6891851      -0.4505026      -1.3140799       0.4130746
       4.6941853      -0.5440832      -1.3295883       0.2414218
       4.6991854      -0.4515834      -1.2452877       0.3421209
       4.7041850      -0.2931898      -1.1154535       0.5290740
       4.7091851      -0.1235658      -1.0481009       0.8009694
       4.7141848       0.1520189      -1.0258492       1.3298870
       4.7191849       0.5317520      -0.9127965       1.9763005
       4.7241850       0.7551940      -0.8378903       2.3482783
       4.7291851       0.6213893      -1.0121219       2.2549007
       4.7341852       0.2843884      -1.2855235       1.8543004
       4.7391853       0.0371156      -1.4358572       1.5100883
       4.7441854       0.0659313      -1.3232256       1.4550883
       4.7491851       0.3120456      -0.9326826       1.5567738
       4.7541852       0.4786461      -0.5527225       1.5100148
       4.7591848       0.3915623      -0.5376421       1.3207666
       4.7641850       0.1662799      -0.8715612       1.2041210
       4.7691851      -0.0068910      -1.2905390       1.2767570
       4.7741852      -0.0220466      -1.5385764       1.4944832
       4.7791853       0.1094148      -1.5055430       1.7243726
       4.7841854       0.2908284      -1.2681353       1.8497922
       4.7891850       0.3808054      -1.0691004       1.8307111
       4.7941852       0.3133111      -1.1066223       1.7332445
       4.7991848       0.2391204      -1.2641375       1.7423782
       4.8041849       0.3505146      -1.3477337       2.0487628
       4.8091850       0.6447948      -1.2575891       2.5471787
       4.8141851       1.0446208      -0.9883375       3.0775790
       4.8191853       1.5079733      -0.6564156       3.6723623
       4.8241854       1.9060082      -0.4647005       4.2767172
       4.8291850       2.0482109      -0.5056443       4.6020660
       4.8341851       1.8590513      -0.6766859       4.3947887
       4.8391848       1.4935737      -0.8124928       3.7996402
       4.8441849       1.3371499      -0.8162932       3.4905930
       4.8491850       1.5921197      -0.6781642       3.8624036
       4.8541851       1.9339470      -0.3882712       4.2561650
       4.8591852       1.9939933      -0.1386912       4.1266775
       4.8641853       1.8263261       0.0078161       3.6448362
       4.8691854       1.6935759       0.0292733       3.3578784
       4.8741851       1.7833875      -0.0712240       3.6379991
       4.8791852       2.1467712      -0.0121348       4.3056774
       4.8841848       2.7169049       0.4133527       5.0204573
       4.8891850       3.2474954       0.9872842       5.5077066
       4.8941851       3.4501288       1.1830611       5.7171965
       4.8991852       3.4081383       0.9832764       5.8330002
       4.9041853       3.4397094       0.8925059       5.9869127
       4.9091854       3.5700147       1.0516782       6.0883512
       4.9141850       3.6060872       1.1926708       6.0195036
       4.9191852       3.5786653       1.2893770       5.8679533
       4.9241848       3.6939871       1.5479865       5.8399878
       4.9291849       3.9043436       1.9184499       5.8902373
       4.9341850       3.9415007       2.1351824       5.7478189
       4.9391851       3.6821265       2.0198627       5.3443904
       4.9441853       3.2656958       1.7148770       4.8165145
       4.9491854       2.9950173       1.5465198       4.4435148
       4.9541850       3.1093225       1.6814474       4.5371976
       4.9591851       3.4855967       2.0991368       4.8720565
       4.9641848       3.7848616       2.5340452       5.0356779
       4.9691849       3.8742056       2.7468557       5.0015554
       4.9741850       3.7804761       2.6573958       4.9035563
       4.9791851       3.4949822       2.1993523       4.7906122
       4.9841852       3.0986168       1.5956738       4.6015596
       4.9891853       2.7663033       1.0996050       4.4330015
       4.9941854       2.5741882       0.7377740       4.4106026
       4.9991851       2.5346997       0.5562729       4.5131264
       5.0041852       2.6336358       0.6407411       4.6265306
       5.0091848       2.7141659       0.8657795       4.5625525
       5.0141850       2.6709638       1.0494747       4.2924528
       5.0191851       2.6260097       1.2116270       4.0403924
       5.0241852       2.6308439       1.3303342       3.9313536
       5.0291853       2.5649900       1.3054094       3.8245707
       5.0341854       2.4277229       1.1856054       3.6698403
       5.0391850       2.3824584       1.0997303       3.6651866
       5.0441852       2.4839039       1.0804614       3.8873463
       5.0491848       2.5282700       1.0184875       4.0380526
       5.0541849       2.2902753       0.7813405       3.7992101
       5.0591850       1.8824974       0.5693098       3.1956849
       5.0641851       1.6394130       0.5507306       2.7280955
       5.0691853       1.6876667       0.4730617       2.9022717
       5.0741854       1.8684397       0.3236413       3.4132380
       5.0791850       1.9399050       0.1880032       3.6918068
       5.0841851       1.7476251       0.0044274       3.4908228
       5.0891848       1.3349843      -0.2377961       2.9077647
       5.0941849       0.9354516      -0.4304327       2.3013358
       5.0991850       0.8070712      -0.4939091       2.1080515
       5.1041851       0.9551147      -0.3935695       2.3037989
       5.1091852       1.1120000      -0.2185233       2.4425232
       5.1141853       1.0929440      -0.1378796       2.3237677
       5.1191854       0.9630799      -0.1385735       2.0647335
       5.1241851       0.8964515      -0.1195624       1.9124656
       5.1291852       1.0099151       0.0009427       2.0188875
       5.1341848       1.2751436       0.2269692       2.3233180
       5.1391850       1.5418286       0.4386867       2.6449704
       5.1441851       1.6109345       0.4376479       2.7842212
       5.1491852       1.4284385       0.2108632       2.6460137
       5.1541853       1.2259318       0.0415033       2.4103603
       5.1591854       1.2563874       0.0768645       2.4359102
       5.1641850       1.5004108       0.3110908       2.6897306
       5.1691852       1.7276478       0.6086857       2.8466098
       5.1741848       1.7136595       0.6355678       2.7917514
       5.1791849       1.4154731       0.2876859       2.5432603
       5.1841850       0.9469246      -0.2047688       2.0986180
       5.1891851       0.4668222      -0.6290025       1.5626467
       5.1941853       0.1825723      -0.8503352       1.2154799
       5.1991854       0.2429298      -0.8362311       1.3220906
       5.2041850       0.5527504      -0.5519815       1.6574824
       5.2091851       0.8777584      -0.1088979       1.8644148
       5.2141848       1.0914643       0.2729515       1.9099770
       5.2191849       1.2266748       0.4666919       1.9866577
       5.2241850       1.3965371       0.5411002       2.2519739
       5.2291851       1.6604125       0.6290265       2.6917987
       5.2341852       1.9200153       0.6673458       3.1726849
       5.2391853       1.9483086       0.4409916       3.4556255
       5.2441854       1.5970839      -0.0527754       3.2469432
       5.2491851       1.0866637      -0.3815495       2.5548768
       5.2541852       0.8486908      -0.2649443       1.9623258
       5.2591848       1.0208856       0.0505792       1.9911920
       5.2641850       1.3300624       0.3608687       2.2992561
       5.2691851       1.4568561       0.4450542       2.4686580
       5.2741852       1.4033089       0.3276826       2.4789352
       5.2791853       1.3563700       0.2655754       2.4471645
       5.2841854       1.3211470       0.2561283       2.3861656
       5.2891850       1.1914589       0.1710111       2.2119069
       5.2941852       0.9869545      -0.0051530       1.9790618
       5.2991848       0.8039645      -0.2057484       1.8136774
       5.3041849       0.6734142      -0.3451465       1.6919749
       5.3091850       0.5603007      -0.3869457       1.5075471
       5.3141851       0.4664258      -0.3440783       1.2769300
       5.3191853       0.4514422      -0.2728959       1.1757803
       5.3241854       0.5209845      -0.2537925       1.2957616
       5.3291850       0.5985467      -0.2675515       1.4646449
       5.3341851       0.6396862      -0.2510208       1.5303931
       5.3391848       0.6484331      -0.2046365       1.5015026
       5.3441849       0.6128960      -0.2211928       1.4469848
       5.3491850       0.5177155      -0.3487980       1.3842289
       5.3541851       0.3724145      -0.5401675       1.2849965
       5.3591852       0.2226692      -0.7018347       1.1471732
       5.3641853       0.1120773      -0.7749621       0.9991167
       5.3691854       0.0216416      -0.8403015       0.8835847
       5.3741851      -0.1258685      -1.0624810       0.8107440
       5.3791852      -0.3463485      -1.3992774       0.7065804
       5.3841848      -0.4713090      -1.5937651       0.6511470
       5.3891850      -0.3089632      -1.4805899       0.8626634
       5.3941851       0.0948853      -1.0612179       1.2509886
       5.3991852       0.5230152      -0.5595794       1.6056099
       5.4041853       0.8965501      -0.2416351       2.0347352
       5.4091854       1.2370303      -0.0716040       2.5456645
       5.4141855       1.3425835      -0.0980154       2.7831826
       5.4191847       1.0240490      -0.4207762       2.4688745
       5.4241848       0.5154958      -0.6867244       1.7177160
       5.4291849       0.1724986      -0.7083471       1.0533442
       5.4341850       0.0917523      -0.6965864       0.8800910
       5.4391851       0.1588922      -0.6950018       1.0127863
       5.4441853       0.1997862      -0.7130966       1.1126690
       5.4491854       0.1791156      -0.7831874       1.1414186
       5.4541855       0.1917135      -0.7947977       1.1782246
       5.4591846       0.2305976      -0.7121131       1.1733084
       5.4641848       0.2511173      -0.6223124       1.1245470
       5.4691849       0.3512461      -0.5559747       1.2584670
       5.4741850       0.6432551      -0.4142038       1.7007140
       5.4791851       1.0334467      -0.1074941       2.1743875
       5.4841852       1.2306861       0.1156794       2.3456926
       5.4891853       1.0868585      -0.0061109       2.1798279
       5.4941854       0.8701651      -0.1907342       1.9310644
       5.4991856       0.9182602      -0.1773266       2.0138469
       5.5041847       1.0883037      -0.0969414       2.2735486
       5.5091848       0.9135466      -0.4520800       2.2791731
       5.5141850       0.2807155      -1.2331043       1.7945353
       5.5191851      -0.3998791      -1.8697109       1.0699527
       5.5241852      -0.6410908      -2.1617842       0.8796027
       5.5291853      -0.3252184      -2.0163965       1.3659595
       5.5341854       0.2395571      -1.4101865       1.8893008
       5.5391855       0.7756963      -0.7160235       2.2674162
       5.5441847       1.2647272      -0.1741983       2.7036529
       5.5491848       1.6686056       0.1733869       3.1638241
       5.5541849       1.8644427       0.2678332       3.4610522
       5.5591850       1.7642498       0.1474817       3.3810179
       5.5641851       1.4560025      -0.0012705       2.9132755
       5.5691853       1.1826462      -0.1073166       2.4726090
       5.5741854       1.1650531      -0.4222410       2.7523472
       5.5791855       1.6045728      -0.6856728       3.8948183
       5.5841846       2.4199331      -0.2983580       5.1382241
       5.5891848       2.9503512       0.3841922       5.5165100
       5.5941849       2.6519885       0.4289627       4.8750143
       5.5991850       1.8051103      -0.0898906       3.7001114
       5.6041851       0.9792523      -0.5991115       2.5576160
       5.6091852       0.4148147      -0.9477633       1.7773927
       5.6141853       0.1737029      -1.0867411       1.4341470
       5.6191854       0.3444479      -1.0076885       1.6965842
       5.6241856       0.8654370      -0.6044806       2.3353548
       5.6291847       1.3723147       0.0315263       2.7131031
       5.6341848       1.4911432       0.3861083       2.5961781
       5.6391850       1.2824545       0.3048750       2.2600341
       5.6441851       1.1100930       0.0769830       2.1432030
       5.6491852       1.1817143      -0.0850246       2.4484532
       5.6541853       1.4522915       0.0196232       2.8849597
       5.6591854       1.7175626       0.3074495       3.1276755
       5.6641855       1.7241515       0.3664356       3.0818672
       5.6691847       1.4718579       0.0992168       2.8444991
       5.6741848       1.2936517      -0.0573270       2.6446304
       5.6791849       1.4532493       0.1352624       2.7712364
       5.6841850       1.8275796       0.5598063       3.0953529
       5.6891851       2.0752902       0.8696123       3.2809682
       5.6941853       2.0596340       0.8985726       3.2206955
       5.6991854       2.0115380       0.9122570       3.1108191
       5.7041855       2.1086166       1.0129836       3.2042496
       5.7091846       2.1612282       0.9899198       3.3325367
       5.7141848       2.0198464       0.7880244       3.2516685
       5.7191849       1.8606906       0.6767216       3.0446596
       5.7241850       1.8167988       0.6723235       2.9612741
       5.7291851       1.7792491       0.5532262       3.0052719
       5.7341852       1.6690212       0.3114382       3.0266042
       5.7391853       1.5232989       0.0890744       2.9575233
       5.7441854       1.3986572      -0.0597650       2.8570795
       5.7491856       1.4203966      -0.1112143       2.9520073
       5.7541847       1.7200243       0.0025393       3.4375095
       5.7591848       2.1996281       0.2418791       4.1573772
       5.7641850       2.5188947       0.3127277       4.7250614
       5.7691851       2.3964260       0.0499716       4.7428803
       5.7741852       1.9713829      -0.1772871       4.1200528
       5.7791853       1.6358683      -0.0224634       3.2941999
       5.7841854       1.5343057       0.2856385       2.7829728
       5.7891855       1.6109769       0.3895609       2.8323929
       5.7941847       1.9202805       0.4215940       3.4189668
       5.7991848       2.4930193       0.7683736       4.2176652
       5.8041849       3.0651500       1.3997326       4.7305675
       5.8091850       3.3346465       1.8606852       4.8086076
       5.8141851       3.3097963       1.9061273       4.7134652
       5.8191853       3.1754770       1.6350138       4.7159405
       5.8241854       2.9828434       1.1034188       4.8622680
       5.8291855       2.5853212       0.3489285       4.8217139
       5.8341846       1.9608330      -0.3228813       4.2445474
       5.8391848       1.3898805      -0.5196310       3.2993922
       5.8441849       1.0462129      -0.3416634       2.4340892
       5.8491850       0.8206641      -0.1908635       1.8321917
       5.8541851       0.6552474      -0.1978492       1.5083442
       5.8591852       0.5922392      -0.2910999       1.4755783
       5.8641853       0.6218677      -0.3648852       1.6086205
       5.8691854       0.7036902      -0.3702819       1.7776623
       5.8741856       0.8281245      -0.3317654       1.9880145
       5.8791847       0.9566452      -0.2946613       2.2079518
       5.8841848       0.9689854      -0.3528635       2.2908342
       5.8891850       0.7838481      -0.5580631       2.1257594
       5.8941851       0.5285630      -0.7426884       1.7998142
       5.8991852       0.4388352      -0.7425660       1.6202363
       5.9041853       0.5980565      -0.6102940       1.8064070
       5.9091854       0.9664978      -0.4073439       2.3403394
       5.9141855       1.4793863      -0.0508314       3.0096040
       5.9191847       1.9756566       0.4289467       3.5223665
       5.9241848       2.2816381       0.7768463       3.7864299
       5.9291849       2.3945239       0.8891090       3.8999386
       5.9341850       2.4389710       0.8852148       3.9927273
       5.9391851       2.4717035       0.7838891       4.1595182
       5.9441853       2.4295170       0.5316010       4.3274331
       5.9491854       2.2101605       0.1485076       4.2718134
       5.9541855       1.8016659      -0.2584959       3.8618279
       5.9591846       1.3947209      -0.5155134       3.3049552
       5.9641848       1.2515889      -0.5664121       3.0695901
       5.9691849       1.4391769      -0.4628102       3.3411641
       5.9741850       1.7687271      -0.3000727       3.8375268
       5.9791851       1.9014258      -0.3604374       4.1632891
       5.9841852       1.5870227      -0.7917067       3.9657521
       5.9891853       1.0811239      -1.1847585       3.3470063
       5.9941854       0.9677674      -1.2196138       3.1551487
       5.9991856       1.3347560      -0.9892372       3.6587491
       6.0041847       1.7032266      -0.6527381       4.0591912
       6.0091848       1.8373278      -0.3439151       4.0185709
       6.0141850       1.9360235      -0.0007085       3.8727555
       6.0191851       2.0161934       0.2086587       3.8237281
       6.0241852       1.9080317       0.1129671       3.7030964
       6.0291853       1.6980829      -0.0841334       3.4802992
       6.0341854       1.6208193      -0.1674429       3.4090815
       6.0391855       1.8344887      -0.1251470       3.7941246
       6.0441847       2.4484591       0.0786753       4.8182430
       6.0491848       3.4932058       0.6810486       6.3053627
       6.0541849       4.6977820       1.7151201       7.6804438
       6.0591850       5.5447392       2.5010436       8.5884352
       6.0641851       5.8113766       2.4849265       9.1378269
       6.0691853       5.5916562       1.9981482       9.1851645
       6.0741854       4.9366755       1.3355770       8.5377741
       6.0791855       4.0906119       0.6742423       7.5069818
       6.0841846       3.3924255       0.1608539       6.6239972
       6.0891848       2.9007597      -0.1164014       5.9179211
       6.0941849       2.5987518      -0.1023006       5.2998042
       6.0991850       2.3524718      -0.0893328       4.7942762
       6.1041851       1.8691137      -0.3991437       4.1373711
       6.1091852       1.1981913      -0.7532849       3.1496675
       6.1141853       0.6835123      -0.8085806       2.1756053
       6.1191854       0.4333454      -0.6927004       1.5593913
       6.1241846       0.3199922      -0.5949301       1.2349144
