       Radius (kpc)   Tb (K)          Tb-sigma T       Tb+sigma T
       1.9891851       0.9250240      -0.6042675       2.4543157
       1.9941852       1.2429842      -0.4540662       2.9400344
       1.9991852       1.6222386      -0.5854247       3.8299019
       2.0041852       1.7606734      -1.1355451       4.6568918
       2.0091853       1.6277411      -1.8027380       5.0582199
       2.0141852       1.6652412      -1.9708555       5.3013382
       2.0191851       2.2158349      -1.3864088       5.8180785
       2.0241852       2.9615037      -0.3362925       6.2593002
       2.0291853       3.2927296       0.4422438       6.1432152
       2.0341852       2.9843192       0.4189579       5.5496807
       2.0391850       2.2427425      -0.1796217       4.6651068
       2.0441852       1.4797359      -0.8213947       3.7808664
       2.0491853       1.0912470      -1.2356178       3.4181118
       2.0541852       1.0814525      -1.3618733       3.5247784
       2.0591850       1.0484791      -1.3619442       3.4589024
       2.0641851       0.8543032      -1.4045743       3.1131806
       2.0691853       0.8289298      -1.3751776       3.0330374
       2.0741851       1.1666566      -1.1051379       3.4384513
       2.0791852       1.6530401      -0.5731844       3.8792644
       2.0841851       1.9545245      -0.1058023       4.0148516
       2.0891852       1.9683044       0.0237758       3.9128330
       2.0941851       1.8977231       0.0015671       3.7938790
       2.0991852       1.9285306       0.0816071       3.7754540
       2.1041851       1.8799990       0.0403006       3.7196975
       2.1091852       1.4586327      -0.5467901       3.4640555
       2.1141851       0.8452131      -1.3484578       3.0388842
       2.1191852       0.5848824      -1.7542862       2.9240508
       2.1241851       0.7805107      -1.6997695       3.2607908
       2.1291852       0.8805296      -1.7029338       3.4639931
       2.1341853       0.5526574      -2.0560439       3.1613586
       2.1391852       0.1827904      -2.2281070       2.5936880
       2.1441851       0.0738932      -2.1488543       2.2966409
       2.1491852       0.0500944      -2.4073718       2.5075605
       2.1541853       0.1047088      -2.9368989       3.1463163
       2.1591852       0.3184562      -3.1394405       3.7763529
       2.1641850       0.4007666      -3.0233588       3.8248920
       2.1691852       0.1995249      -2.8670878       3.2661376
       2.1741853       0.1333989      -2.5646317       2.8314292
       2.1791852       0.5078189      -2.0768447       3.0924826
       2.1841850       1.1022663      -1.5251877       3.7297204
       2.1891851       1.5174074      -1.1114855       4.1463003
       2.1941853       1.5093390      -0.9483246       3.9670024
       2.1991851       1.2578094      -0.7930200       3.3086388
       2.2041852       1.0486023      -0.5344502       2.6316547
       2.2091851       0.8170505      -0.4936947       2.1277957
       2.2141852       0.4824714      -0.7327186       1.6976613
       2.2191851       0.2203549      -1.0384576       1.4791675
       2.2241852       0.1932060      -1.3616440       1.7480559
       2.2291851       0.3414650      -1.5772154       2.2601454
       2.2341852       0.4843328      -1.5897400       2.5584056
       2.2391851       0.5227591      -1.4076195       2.4531376
       2.2441852       0.5009729      -1.0837075       2.0856533
       2.2491851       0.5049404      -0.7521385       1.7620193
       2.2541852       0.5469645      -0.5752748       1.6692039
       2.2591853       0.5695912      -0.5454211       1.6846035
       2.2641852       0.5755799      -0.5153228       1.6664826
       2.2691851       0.6170059      -0.4274889       1.6615007
       2.2741852       0.6351846      -0.4605822       1.7309513
       2.2791853       0.5249725      -0.7700049       1.8199499
       2.2841852       0.2709692      -1.2310001       1.7729386
       2.2891850      -0.0071200      -1.5958754       1.5816354
       2.2941852      -0.0676379      -1.6653477       1.5300719
       2.2991853       0.1723011      -1.3957245       1.7403266
       2.3041852       0.4809756      -0.9728863       1.9348376
       2.3091850       0.6071566      -0.7502154       1.9645287
       2.3141851       0.5140281      -0.8012112       1.8292674
       2.3191853       0.2758736      -1.0055946       1.5573417
       2.3241851      -0.0533112      -1.3800161       1.2733936
       2.3291852      -0.3710260      -1.8386114       1.0965595
       2.3341851      -0.4973998      -2.1430111       1.1482115
       2.3391852      -0.3490067      -2.1416605       1.4436471
       2.3441851       0.0499282      -1.8240099       1.9238663
       2.3491852       0.6289183      -1.2689500       2.5267868
       2.3541851       1.1288360      -0.8156657       3.0733378
       2.3591852       1.2517208      -0.9402121       3.4436536
       2.3641851       1.0122585      -1.4382334       3.4627504
       2.3691852       0.6800186      -1.7290888       3.0891261
       2.3741851       0.4821000      -1.6161137       2.5803137
       2.3791852       0.4781884      -1.3209369       2.2773137
       2.3841853       0.5433062      -1.1160738       2.2026863
       2.3891852       0.4611571      -1.0954478       2.0177619
       2.3941851       0.1947103      -1.2452128       1.6346335
       2.3991852      -0.0823671      -1.5540822       1.3893480
       2.4041853      -0.2627575      -2.0614855       1.5359707
       2.4091852      -0.2762416      -2.5160620       1.9635789
       2.4141850       0.0844394      -2.4263220       2.5952010
       2.4191852       0.7648852      -1.6296904       3.1594608
       2.4241853       1.2726153      -0.7237337       3.2689643
       2.4291852       1.2722452      -0.4381224       2.9826126
       2.4341850       0.9232326      -0.6012448       2.4477100
       2.4391851       0.5774872      -0.7018872       1.8568617
       2.4441853       0.3585828      -0.8545661       1.5717316
       2.4491851       0.1666397      -1.5071859       1.8404653
       2.4541850      -0.0275948      -2.7338150       2.6786253
       2.4591851      -0.2166604      -4.2345791       3.8012581
