Name,OName,RAh,RAm,RAs,DE,DEd,DEm,DEs,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,ra,dec,ded
G122.01-07.08,"IRAS00420+553  ",0,44,58.397,+,55,46,47.6,0.46,0.02,-3.7,0.5,-1.25,0.5,-50,5,Per,"31         ",11.243320830663047,55.77988888846503,55
G035.19-00.74,,18,58,13.0517,+,1,40,35.674,0.456,0.045,-0.18,0.5,-3.63,0.5,30,7,SgN,"14         ",284.5543820818265,1.6765761110517714,1
G035.02+00.34,,18,54,0.6576,+,2,1,19.217,0.43,0.04,-0.92,0.9,-3.61,0.9,52,5,SgN,"2          ",283.50273999994,2.022004721959432,2
G123.06-06.30,"NGC281W        ",0,52,24.196,+,56,33,43.18,0.421,0.022,-2.69,0.31,-1.77,0.29,-29,3,Per,"19         ",13.100816663106283,56.56199444452922,56
G012.68-00.18,"W33B           ",18,13,54.7457,-,18,1,46.588,0.416,0.028,-1.0,0.95,-2.85,0.95,58,10,ScN,"8          ",273.47810708681743,-18.02960777812534,-18
G134.62-02.19,"SPer           ",2,22,51.7106,+,58,35,11.444,0.413,0.017,-0.49,0.5,-1.19,0.48,-39,5,Per,"35         ",35.715460840861,58.58651222229004,58
G035.20-01.73,,19,1,45.542,+,1,13,32.69,0.412,0.014,-0.68,0.44,-3.6,0.44,43,5,SgN,"14,54      ",285.4397583325704,1.2257472218407526,1
G012.90-00.24,"W33A           ",18,14,34.4366,-,17,51,51.891,0.408,0.025,0.19,0.4,-2.52,0.4,36,5,ScN,"8          ",273.64348583221437,-17.86441416634454,-17
G069.54-00.97,"ON1            ",20,10,9.07,+,31,31,35.95,0.406,0.013,-3.19,0.4,-5.22,0.4,12,5,Loc,"19,20,21   ",302.53779166539516,31.52665277798971,31
G108.59+00.49,,22,52,38.315,+,60,0,51.888,0.405,0.033,-5.56,0.4,-3.4,0.4,-52,5,Per,"28         ",343.1596458276113,60.01441333346897,60
G012.90-00.26,"W33A           ",18,14,39.5714,-,17,52,0.382,0.396,0.032,-0.36,0.4,-2.22,0.4,37,5,ScN,"8          ",273.6648808320363,-17.86677277777758,-17
G034.79-01.38,,18,59,45.9838,+,1,1,18.947,0.381,0.02,-0.31,0.62,-2.8,0.72,45,5,SgN,"54         ",284.94159916241966,1.0219297223620945,1
G111.54+00.77,"NGC7538        ",23,13,45.36,+,61,28,10.55,0.378,0.017,-2.45,0.4,-2.44,0.4,-57,5,Per,"30         ",348.4390000025432,61.469597222275205,61
G359.61-00.24,,17,45,39.0697,-,29,23,30.265,0.375,0.021,1.0,0.4,-1.5,0.5,21,5,CtN,"59,52      ",266.41279040972387,-29.391740277608235,-29
G123.06-06.30,"NGC281         ",0,52,24.7008,+,56,33,50.527,0.355,0.03,-2.79,0.62,-2.14,0.7,-30,5,Per,"32         ",13.102919999758402,56.564035277896465,56
G034.41+00.23,,18,53,18.0319,+,1,25,25.5,0.34,0.011,0.12,0.72,-4.18,0.72,60,10,SgN,"56         ",283.32513291835784,1.42375,1
G005.88-00.39,,18,0,30.2801,-,24,4,4.576,0.334,0.02,0.18,0.34,-2.26,0.34,9,5,ScN,"4          ",270.12616708278654,-24.067937777837116,-24
G236.81+01.98,,7,44,28.2367,-,20,8,30.606,0.326,0.026,-2.49,0.43,2.67,0.41,53,10,Per,"28         ",116.11765291690827,-20.141835000250076,-20
G108.47-02.81,,23,2,32.08,+,56,57,51.4,0.309,0.01,-3.13,0.49,-2.79,0.46,-54,5,Per,"28         ",345.633666674296,56.964277778201634,56
G078.88+00.70,"AFGL2591       ",20,29,24.823,+,40,11,19.59,0.3,0.024,-1.2,0.72,-4.8,0.66,-6,7,Loc,"25         ",307.35342916647596,40.188775000042384,40
G040.28-00.21,,19,5,41.2146,+,6,26,12.698,0.297,0.019,-1.8,0.31,-3.82,0.33,74,5,AqS,"56         ",286.4217274983724,6.4368605555428395,6
G348.70-01.04,,17,20,4.036,-,38,58,30.92,0.296,0.026,-0.73,0.31,-2.83,0.59,-9,5,CtN,"1          ",260.0168166657289,-38.97525555557675,-38
G030.97-00.14,,18,48,22.0433,-,1,48,30.75,0.294,0.022,-2.14,0.31,-3.82,0.34,77,3,ScN,"52         ",282.09184708595274,-1.8085416666666667,-1
G100.37-03.57,,22,16,10.3651,+,52,21,34.113,0.289,0.016,-3.66,0.6,-3.02,0.6,-37,10,Per,"28         ",334.04318791627884,52.35947583304511,52
G006.79-00.25,,18,1,57.7525,-,23,12,34.245,0.288,0.021,-0.3,0.3,-1.3,0.31,22,5,Nor,"59         ",270.4906354109446,-23.2095124997033,-23
G075.76+00.33,,20,21,41.086,+,37,25,29.28,0.285,0.022,-3.08,0.6,-4.56,0.6,-9,9,Loc,"21         ",305.4211916605632,37.424800000190736,37
G111.25-00.76,,23,16,10.342,+,59,55,28.596,0.28,0.015,-2.69,0.28,-1.75,0.33,-40,3,Per,"28         ",349.0430916666985,59.92461000018649,59
G016.58-00.05,,18,21,9.084,-,14,31,48.556,0.279,0.023,-1.13,0.34,-2.59,0.35,60,5,ScN,"4          ",275.28784999847414,-14.530154444376628,-14
G071.52-00.38,,20,12,57.8943,+,33,30,27.083,0.277,0.026,-2.48,0.29,-4.97,0.3,11,3,Loc,"70         ",303.2412262439728,33.50752305560642,33
G013.71-00.08,,18,15,36.9814,-,17,4,32.108,0.264,0.014,-0.29,0.28,-2.16,0.29,44,5,Nor,"7          ",273.9040891647339,-17.075585556030273,-17
G013.87+00.28,,18,14,35.8356,-,16,45,35.869,0.254,0.024,-0.25,2.0,-2.49,2.0,48,10,ScN,"4          ",273.6493150075277,-16.759963610967,-16
G030.41-00.23,,18,47,40.7589,-,2,20,30.907,0.253,0.021,-1.98,0.28,-4.07,0.29,103,3,ScN,"52         ",281.91982874870297,-2.3419186109966703,-2
G011.10-00.11,,18,10,28.247,-,19,22,30.216,0.246,0.014,-0.23,0.38,-2.01,0.41,29,5,ScN,"53         ",272.61769583225254,-19.375059999889796,-19
G160.14+03.15,,5,1,40.2437,+,47,7,19.026,0.244,0.006,0.87,0.35,-1.32,0.29,-18,5,Out,"27         ",75.4176820755005,47.121951666408115,47
G196.45-01.67,"S269           ",6,14,37.641,+,13,49,36.693,0.242,0.011,0.2,0.27,-0.73,0.27,19,5,Out,"42,66,65   ",93.65683749516805,13.826859166887074,13
G059.83+00.67,,19,40,59.2938,+,24,4,44.177,0.242,0.014,-2.91,0.26,-6.12,0.26,34,3,LoS,"70         ",295.247057501475,24.078938055038453,24
G211.59+01.05,,6,52,45.321,+,1,40,23.072,0.239,0.01,-0.79,0.62,0.05,0.66,45,5,Out,"58         ",103.18883749643962,1.6730755556954278,1
G028.39+00.08,,18,42,51.9822,-,3,59,54.494,0.231,0.015,-1.4,0.24,-3.26,0.24,75,5,ScN,"53         ",280.716592502594,-3.998470555411445,-3
G094.60-01.79,"AFGL2789       ",21,39,58.2701,+,50,14,20.994,0.221,0.013,-3.49,0.23,-2.65,0.23,-43,3,Per,"18,28,58   ",324.9927920818329,50.23916499985589,50
G028.30-00.38,,18,44,21.9666,-,4,17,39.904,0.221,0.022,-1.62,0.23,-3.97,0.23,87,5,ScN,"53         ",281.09152750174206,-4.294417777591281,-4
G229.57+00.15,,7,23,1.7718,-,14,41,34.339,0.218,0.012,-1.33,0.7,0.77,0.7,53,10,Per,"28         ",110.75738250017164,-14.692871944639418,-14
G049.59-00.24,,19,23,26.6068,+,14,40,16.955,0.218,0.009,-2.25,0.24,-6.12,0.25,63,5,SgF,"55         ",290.8608616669973,14.671376388867696,14
G030.19-00.16,,18,47,3.0698,-,2,30,36.268,0.212,0.01,-2.08,0.22,-3.8,0.25,108,3,ScN,"53         ",281.7627908329169,-2.5100744448767767,-2
G029.95-00.01,"W43S           ",18,46,3.7402,-,2,39,22.328,0.207,0.019,-2.36,0.2,-5.38,0.2,99,5,ScF,"6,52       ",281.51558416684463,-2.656202221976386,-2
G095.29-00.93,,21,39,40.5089,+,51,20,32.808,0.206,0.015,-2.74,0.3,-2.85,0.37,-38,5,Per,"27         ",324.9187870820363,51.342446666293675,51
G023.00-00.41,,18,34,40.28,-,9,0,38.36,0.205,0.015,-1.72,0.22,-4.12,0.37,79,5,Nor,"11,68      ",278.66783332824707,-9.010655555725098,-9
G010.62-00.38,,18,10,28.5628,-,19,55,48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3,5,3kN,"7          ",272.61901166439054,-19.93020499971178,-19
G028.86+00.06,,18,43,46.2233,-,3,35,29.846,0.201,0.019,-3.19,0.42,-5.72,0.48,100,10,ScF,"52         ",280.9425970872243,-3.591623889075385,-3
G032.04+00.05,,18,49,36.5754,-,0,45,45.539,0.198,0.015,-2.05,0.21,-4.77,0.21,98,5,ScN,"4,52       ",282.40239750544225,0.7626497226291232,0
G049.19-00.33,,19,22,57.7705,+,14,16,9.983,0.197,0.008,-3.08,0.4,-5.5,0.4,67,5,SgF,"2,69       ",290.7407104174296,14.269439722167121,14
