recno,Name,OName,RAJ2000,DEJ2000,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,SimbadName,dec,ra
71,G030.22-00.18,,18 47 08.2979,-02 29 29.330,0.284,0.032,-0.87,0.31,-4.7,0.34,113,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G030.22-00.18,-2.4914805555555555,281.7845745833333
72,G030.41-00.23,,18 47 40.7589,-02 20 30.907,0.253,0.021,-1.98,0.28,-4.07,0.29,103,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G030.41-00.23,-2.341918611111111,281.91982875
73,G030.70-00.06,,18 47 36.7983,-02 00 54.341,0.153,0.02,-2.33,0.18,-4.95,0.18,89,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G030.70-00.06,-2.0150947222222224,281.90332625
74,G030.74-00.04,,18 47 39.7248,-01 57 24.974,0.326,0.055,-2.38,0.38,-4.46,0.38,88,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G030.74-00.04,-1.9569372222222225,281.91551999999996
76,G030.81-00.05,,18 47 46.9751,-01 54 26.416,0.321,0.037,-2.34,0.35,-5.66,0.35,105,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G030.81-00.05,-1.9073377777777778,281.94572958333333
77,G030.97-00.14,,18 48 22.0433,-01 48 30.750,0.294,0.022,-2.14,0.31,-3.82,0.34,77,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G030.97-00.14,-1.8085416666666667,282.09184708333333
78,G031.24-00.11,,18 48 45.0808,-01 33 13.200,0.076,0.014,-2.8,0.19,-5.54,0.19,24,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G031.24-00.11,-1.5536666666666668,282.18783666666667
79,G031.28+00.06,W43M,18 48 12.3760,-01 26 28.778,0.21,0.029,-1.99,0.19,-4.58,0.22,110,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G031.28+00.06,-1.4413272222222222,282.0515666666667
80,G031.41+00.30,,18 47 34.3105,-01 12 46.659,0.267,0.029,-1.58,0.7,-5.82,0.7,97,15,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G031.41+00.30,-1.2129608333333333,281.89296041666665
81,G031.58+00.07,W43M,18 48 41.6740,-01 09 59.774,0.183,0.032,-1.97,0.4,-4.43,0.4,96,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G031.58+00.07,-1.1666038888888892,282.1736416666667
82,G032.04+00.05,,18 49 36.5754,-00 45 45.539,0.198,0.015,-2.05,0.21,-4.77,0.21,98,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G032.04+00.05,-0.7626497222222223,282.40239749999995
83,G032.74-00.07,,18 51 21.8624,-00 12 06.220,0.126,0.016,-3.15,0.27,-6.1,0.29,37,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G032.74-00.07,-0.2017277777777778,282.84109333333333
85,G033.09-00.07,,18 51 59.4085,+00 06 34.262,0.134,0.016,-2.46,0.15,-5.32,0.15,100,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G033.09-00.07,0.10951722222222224,282.9975354166666
