Parameter,Value
mb,408.9921563615983
bb,1.7574232767006592
md,2856.0028321425675
ad,4.154583710898477
bd,0.3509986069765285
mh,1017.9992595179236
ah,3.0555006262378193
lam,62.44680495210897
